用户名,评论时间,评论内容,点赞数
格林美股友,2020-01-04 18:19:00,公司如何看待宁德时代和LG自建前驱体产能这件事？格林美：回复：您好！新能源汽车行业是一个全球性的市场，也是世界增长动力最强劲的新兴行业之一，全球主流汽车厂商都将新能源汽车作为未来的主攻方向，积极布局新能源汽车行业，未来新能源汽车产业市场前景广阔。公司作为全球新能源电池材料制造领域的领先企业，三元前驱体定位于高镍与单晶高端产品，全面掌握了高镍与单晶材料的制造技术，成为全球三元前驱体制造领域能够大规模制造NCA&NCM全系列产品的少数企业，拥有三元前驱体制造的极具世界竞争力的关键核心技术。公司三元前驱体出货量位居世界前列，主流供应三星供应链、ECOPRO等全球行业知名客户。未来三年，公司已签署30万吨三元前驱体战略长单，奠定了公司在国内以及全球三元前驱体材料制造领域的市场核心地位。在全球任何一个行业，具有核心竞争力且优质、高端的产能永远都是稀缺的。（来自 深交所互动易）  答复时间 2020-01-08 18:01:00,2
风花雪夜玫瑰花,2020-01-04 18:55:10,问了，主要是参加增发的机构不希望股价太高！一旦有人拉就要砸下,0
风花雪夜玫瑰花,2020-01-04 18:55:10,问了，主要是参加增发的机构不希望股价太高！一旦有人拉就要砸下,0
fndjgxits,2020-01-04 19:56:58,增发增发增发，几年时间不知不觉从20几亿盘子变成快50亿,0
股友DHjYZB,2020-01-04 20:31:21,这个垃圾，要退市了,0
一民散户,2020-01-04 20:34:36,和我一样，一直因为看好公司没卖，公司也都是盈利，就是股票不涨反而跌很多，老总一家拿着高收入，还不停增发，不想着怎样把股价搞上去,0
一民散户,2020-01-04 20:34:36,和我一样，一直因为看好公司没卖，公司也都是盈利，就是股票不涨反而跌很多，老总一家拿着高收入，还不停增发，不想着怎样把股价搞上去,0
豪豪子,2020-01-04 20:50:52,小格格啊，5.5元的成本，啥时候才能解套啊,1
股市里捡垃圾,2020-01-04 20:53:36,这票是机构没有推荐，散户调研最细致频率最高的公司,1
姐是疯子,2020-01-04 21:13:02,下周可以,0
股市里捡垃圾,2020-01-04 21:13:15,这股会在4.2－－5.2之间磨半年,0
耐心有回报,2020-01-04 21:17:38,说到我心里去了,1
耐心有回报,2020-01-04 21:17:38,说到我心里去了,1
科技消费电子行业,2020-01-04 23:16:21,无良的主力，肯定有不可告人的秘密持仓，有出不完的卖盘。,0
科技消费电子行业,2020-01-04 23:17:40,持仓主力不可能不想赚钱。,0
科技消费电子行业,2020-01-04 23:19:41,起涨点计算，落后华友钴业25%了。,0
科技消费电子行业,2020-01-04 23:22:09,落后寒锐钴业15%、盛坉矿业5%。是最差的板块标的。,0
把虚拟变成现实,2020-01-04 23:22:26,同问，5.55成本,0
格林美股友,2020-01-04 23:46:00,格林美应该引入宁德时代，作为定向增发的股东，这样才能深度绑定！格林美：回复：感谢您的建议！公司管理层一直积极对接资本市场，通过多种渠道主动与投资者保持沟通，积极引进战略性的产业资本，目前非公开发行工作正在有序推进中。（来自 深交所互动易）  答复时间 2020-01-08 18:03:00,0
格林美股友,2020-01-04 23:47:00,格林美应该拿下特斯拉的电池回收，签订排他的合作协议！格林美：回复：感谢您的建议！与全球高端产业链合作，格林美一直在努力着。公司目前已经与包括T公司在内的全球180多家电池厂及整车厂签署了动力电池回收协议。（来自 深交所互动易）  答复时间 2020-01-09 09:35:00,5
格林美股友,2020-01-04 23:48:00,格林美应该在德国建一个配套宁德时代的前驱体工厂！格林美：回复：您好！公司管理层一直秉持做大做强绿色产业初心，坚定看好循环经济及新能源产业的发展前景，如果有需要我们愿意去全球任何一个地方开疆拓土。后续如有相关投资计划，公司将严格按照上市公司信息披露相关规定及时履行审议程序及信息披露义务。（来自 深交所互动易）  答复时间 2020-01-08 18:04:00,0
格林美股友,2020-01-04 23:50:00,格林美即然看好新能源汽车产业，就应该拿下镍矿资源，手里有个原矿！格林美：回复：您好！公司积极实施钴镍原料“城市矿山+国际巨头战略合作”的双原料战略通道，全面保障原料供应体系安全。一方面，公司深耕镍资源循环利用领域多年，具备钴镍资源的循环利用及相关钴镍高技术产品核心制造的技术优势和原料优势，年回收镍资源1万吨以上，切实保障三元前驱体增长对镍资源的需求。另一方面，公司与青山实业下属公司新展国际、CATL控股公司广东邦普等行业资源巨头和市场巨头强强联合，在印尼青山园区投资建设年产5万吨镍金属的电池级镍化学品项目，充分发挥各自优势，组合资源、技术与市场，在印尼当地开展镍资源冶炼与深加工，打造具有世界竞争力的新能源动力电池镍原料制造体系，满足世界新能源发展对低成本、高质量镍资源的战略需求。雄关漫道真如铁，绿色能源还看镍！（来自 深交所互动易）  答复时间 2020-01-08 18:05:00,0
格林美股友,2020-01-04 23:52:00,格林美有能力进行产业延伸，发展自己的固态锂电池业务，支持换电模式！格林美：回复：感谢您的建议！公司管理层一直秉持做大做强绿色产业初心，聚焦主营业务发展，发挥主营业务优势，坚定看好循环经济及新能源产业的发展前景。固态锂电池主要是使用固态的电解质来提升安全性，其正极材料仍然使用的是三元材料。后续如有相关计划，公司将严格按照上市公司信息披露相关规定及时履行审议程序及信息披露义务。（来自 深交所互动易）  答复时间 2020-01-08 18:06:00,0
格林美股友,2020-01-04 23:54:00,格林美应该在美国发行新股，募集资金，进入美国市场！格林美：回复：感谢您的建议！公司管理层一直秉持做大做强绿色产业初心，坚定看好循环经济及新能源产业的发展前景。后续如有相关计划，公司将严格按照上市公司信息披露相关规定及时履行审议程序及信息披露义务。（来自 深交所互动易）  答复时间 2020-01-08 18:06:00,0
一支穿云箭AMTF,2020-01-04 23:54:31,下周一开启大涨模式，不到15元不要下车，世界有色金属行情大涨，黄金首当其冲，周一高开5个点左右，信不信由你,3
格林美股友,2020-01-04 23:55:00,格林美为何不自己开始做固态锂电池业务，现在搞来得及！格林美：回复：感谢您的建议！公司管理层一直秉持做大做强绿色产业初心，聚焦主营业务发展，发挥主营业务优势，坚定看好循环经济及新能源产业的发展前景。固态锂电池主要是使用固态的电解质来提升安全性，其正极材料仍然使用的是三元材料。后续如有相关计划，公司将严格按照上市公司信息披露相关规定及时履行审议程序及信息披露义务。（来自 深交所互动易）  答复时间 2020-01-08 18:06:00,0
格林美股友,2020-01-04 23:58:00,董事长既然坚定看好这个产业，就应该从银行贷款，大量买入，将持股比例提高至50%，防止被别人收购！格林美：回复：您好！目前，公司生产经营一切正常，不存在被收购等可能使公司实际控制权发生变更的情形。并且，公司董事长基于坚定地看好中国环保产业及新能源行业的美好未来发展，坚定地看好公司“城市矿山+新能源材料”的核心竞争力与发展前景，已在增持公司股份。（来自 深交所互动易）  答复时间 2020-01-08 18:07:00,0
格林美股友,2020-01-04 23:59:00,格林美应该与恒大合作！格林美：回复：您好！公司管理层一直秉持做大做强绿色产业初心，坚定看好循环经济及新能源产业的发展前景。后续如有合作，公司将严格按照上市公司信息披露相关规定及时履行审议程序及信息披露义务。（来自 深交所互动易）  答复时间 2020-01-08 18:07:00,0
gel_sz,2020-01-05 07:20:24,港资最近一直在买买买，买成第一大股东才好玩,3
股市有涨有跌,2020-01-05 08:34:00,信你个头啊!,0
长春股友888,2020-01-05 08:44:10,不信你,0
股友ZdC0eN,2020-01-05 09:58:50,你这个糟老头子坏得狠，我信你个鬼！,1
pilang8686,2020-01-05 10:08:18,港资现在才1%，还需要努力,1
把虚拟变成现实,2020-01-05 10:12:26,15?疯了。我这5.55成本的在2020年能平手都不敢奢望……,1
风花雪夜玫瑰花,2020-01-05 10:23:06,第六感准确预测格林美下周会在5.5元以上的！每次预测都很准的！没买的快点了！,10
永远真的很远吗,2020-01-05 10:30:49,星期一有什么戏？,0
股市有涨有跌,2020-01-05 10:44:33,我第七感觉格林美下周会跌，在4.6元左右。,2
营魄抱壹,2020-01-05 11:10:03,到4.9%就停止再买。,0
a321606,2020-01-05 11:39:32,周一回调到四元五角左右建仓！,0
n463313751743256,2020-01-05 15:24:29,估计你现在半仓。,1
蚂蚁虽小也是肉,2020-01-05 15:36:40,，,1
股友k786e35155,2020-01-05 20:59:15,大盘摇摇欲坠，还涨啥,0
那年那月那日,2020-01-05 21:18:12,nan,0
ao888gu,2020-01-05 21:37:01,外资占2.2%了,0
发之桐,2020-01-05 23:20:32,深股通加QF超过26%才会出公告。,0
发之桐,2020-01-05 23:20:32,深股通加QF超过26%才会出公告。,0
深度发掘001,2020-01-06 07:42:40,股市就是考验人性的地方,0
风花雪夜玫瑰花,2020-01-06 09:49:25,和你们说了的，每次预测都很准的！听话的赚大了哈,0
一支穿云箭AMTF,2020-01-06 11:08:09,来看空的出来走两步,0
一支穿云箭AMTF,2020-01-06 11:08:21,都是死比一个,0
一支穿云箭AMTF,2020-01-06 11:08:56,今天不买，明天在追高,0
文进炒股911,2020-01-06 13:29:26,格林美后市看好，已横盘结束！,0
风花雪夜玫瑰花,2020-01-06 13:31:26,都来点赞吧,1
股友pOuaPd,2020-01-06 13:38:37,多出来说说,0
风花雪夜玫瑰花,2020-01-06 13:57:53,从5元多唱空，4元开始一直唱多！一直没有变的,0
土豪梦一地蛋碎,2020-01-06 14:00:28,跑了，终于解套了，妈的从3月到现在大半年,1
A东方之子,2020-01-06 14:14:18,不跑等半年，跑了没肉吃，连汤也喝着,0
A东方之子,2020-01-06 14:15:31,不跑等半年，跑了没肉吃，连汤也没有,0
danu,2020-01-06 14:17:50,加仓，呵呵,0
股友fsa2qJ,2020-01-06 14:31:15,我5.4还跑不掉,0
SamQ,2020-01-06 14:32:21,这个价格收盘很满足。期望越大，失望越大。,0
hotsundy,2020-01-06 14:38:43,早上买的 现在才2个点 白开心明天给回你,1
专业比赛,2020-01-06 14:50:10,弹性太差,2
大A能否创财富,2020-01-06 14:53:01,发射,0
股友sTca0X,2020-01-06 14:55:53,射个屁，开始砸盘了,0
雾色渐浓,2020-01-06 15:04:05,未来一年内看到10元每股，不知道会不会被鄙视,1
格林美资讯,2020-01-06 15:08:12,来源：东方财富Choice数据 作者：财智星格林美融资融券信息显示，2020年1月3日融资净偿还1815.95万元；融资余额14.49亿元，较前一日下降1.24%。融资方面，当日融资买入9763.72万元，融资偿还1.16亿元，融资净偿还1815.95万元。融券方面，融券卖出33.99万股，融券偿还55.35万股，融券余量111.83万股，融券余额546.85万元。融资融券余额合计14.55亿元。格林美融资融券交易明细（01-03）格林美历史融资融券数据一览免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。（文章来源：东方财富Choice数据） [点击查看原文],0
袜添柴,2020-01-06 15:12:45,不会，20才会,0
SamQ,2020-01-06 15:16:33,10元市值500亿元都不到，看看其他新能源电池，市值都比它多1倍多。,0
ao888gu,2020-01-06 15:23:46,开盘时我就发帖告诉大家，天天拉高打下去，今天拉高不打下了，恭喜没下车的股友了，定增固然要控制股价，但这不影响主力做点高拋低吸，明天只卖不买，大盘也该回调一下了，我们散户也配合主力控压一下股价，各位切记！！！,4
股友k786e35155,2020-01-06 15:29:54,可能性大,0
股友k786e35155,2020-01-06 15:54:34,今天解套的抛了很多,4
落寞的瓦林卡,2020-01-06 16:05:21,完全可以的，毕竟大行情这么好,0
股友N4Rgdo,2020-01-06 16:07:41,是的,0
我爱渝三峡,2020-01-06 16:08:47,特斯拉新能源车彻底爆发！燃油车呢？通通报废给格林美！格林美醒来戴维斯双击！新能源车和燃油车报废给格林美带来太多想象力了！另外601388也可以关注下也是正宗的燃油车报废概念股！新能源车炒作越欢越对他们有想象力！,5
资金解密,2020-01-06 16:19:56,"今日格林美主力净流入额达-567.39万元，净占比-0.50%，其中超大单净流入额3246.03万元,净占比2.90%，大单净流入额-3813.42万元，净占比-3.41%。净超大3246.03万净大单-3813.42万净中单2045.82万净小单-1478.43万格林美资金流向数据类型 流入(万元) 流出(万元)超大 14784.88 -11538.85大单 31343.80 -35157.22中单 39279.00 -37233.18小单 26404.39 -27882.82资金解读5.234.915.074.70%4.70%0.00%价格均线成交量 221.07万8.12万009:3015:00格林美(002340) 2020-01-06 15:00格林美收盘涨幅4.70%，其中，成交最活跃的价格分别为5.20、5.21、5.22，成交密集的手数区间分布于1000-1500、700-1000、2000-3000手，大单介入居多。成交活跃统计9:30-15:00 成交均价 5.06成交价格 主买累计成交量 主卖累计成交量 主买占比 主卖占比5.20 4864821 1368200 2.19% 0.62%5.21 1832700 1648380 0.83% 0.74%5.22 2351025 1036850 1.06% 0.47%5.19 2128911 600408 0.96% 0.27%展开阅读全文",0
风花雪夜玫瑰花,2020-01-06 16:36:09,从4元开始一直让大家买入，这周必过5.5元！听话的都赚了吧，点赞了！,23
LavinGor,2020-01-06 16:40:54,长线持有,1
LavinGor,2020-01-06 16:42:19,我等着它翻3倍呢,0
吴宸2018,2020-01-06 16:50:48,没有底部的抛得多,0
K石上清泉,2020-01-06 17:15:47,吹吧，中间有一回错的离谱，虽说其他全给你蒙对了，但真正实盘操作，错一回就万劫不复了，不信大家可以翻一下他以前的评论，一个嘴盘而已。我4块追到现在没卖，但也曾甩下车过。,2
蚂蚁虽小也是肉,2020-01-06 17:22:42,4.06的本买的不多，你可以继续行情，继续涨,1
深度发掘001,2020-01-06 17:55:02,洗洗更健康,0
股友DHjYZB,2020-01-06 18:06:27,这个垃圾，要退市了,0
一剑穿心4,2020-01-06 18:08:26,不好意思各位，我撤，留下的发财,3
袜添柴,2020-01-06 18:14:00,没有白投资的道理，相信买这个的也都有自己的理解与判断，慢慢来吧！不着急，我追求年化收益,2
袜添柴,2020-01-06 18:14:00,没有白投资的道理，相信买这个的也都有自己的理解与判断，慢慢来吧！不着急，我追求年化收益,2
股友gyasuT,2020-01-06 20:04:50,卧底等风,0
股友gyasuT,2020-01-06 20:04:50,卧底等风,0
涨停是别人的,2020-01-06 20:13:39,60分钟Macd顶背离，不随股价创新高，股价必创新高。背离一旦产生，通过下跌结束背离趋势。而股价创新高是最好出逃机会，应看高一线5.5元附近！,2
涨停是别人的,2020-01-06 20:13:39,60分钟Macd顶背离，不随股价创新高，股价必创新高。背离一旦产生，通过下跌结束背离趋势。而股价创新高是最好出逃机会，应看高一线5.5元附近！,2
涨停是别人的,2020-01-06 20:22:12,果然如我猜测，强阻力在5.5元！,0
涨停是别人的,2020-01-06 20:22:12,果然如我猜测，强阻力在5.5元！,0
涨停是别人的,2020-01-06 20:26:12,所以深套，因为给自己找借口。它从9元多下跌，我套六成，也是不着急，其二没子弹。有时必须对自己狠些！祝多赚钱！,0
涨停是别人的,2020-01-06 20:26:12,所以深套，因为给自己找借口。它从9元多下跌，我套六成，也是不着急，其二没子弹。有时必须对自己狠些！祝多赚钱！,0
涨停是别人的,2020-01-06 20:28:17,强阻力在5.5，冲不冲得过看形势与主力是否给力。我要先撤了！,0
n8340133199,2020-01-06 20:29:02,45元等它,0
吴宸2018,2020-01-06 20:58:43,差不多了，大盘应该要变盘咯！,1
吴宸2018,2020-01-06 20:58:43,差不多了，大盘应该要变盘咯！,1
笑傲股海陈情令,2020-01-06 20:58:47,这个消息出来，给大家那么长的时间建仓，主力白送钱给大家，不要白不要。,0
笑傲股海陈情令,2020-01-06 20:58:47,这个消息出来，给大家那么长的时间建仓，主力白送钱给大家，不要白不要。,0
股友ZdC0eN,2020-01-06 21:09:59,选股重于股指。炒股重在趋势。没有神仙指路，只有谨慎自制。,0
股友ZdC0eN,2020-01-06 21:09:59,选股重于股指。炒股重在趋势。没有神仙指路，只有谨慎自制。,0
营魄抱壹,2020-01-06 22:11:18,涨一天跌三天，涨三天不够一天跌，你忘记了?,2
营魄抱壹,2020-01-06 22:11:18,涨一天跌三天，涨三天不够一天跌，你忘记了?,2
营魄抱壹,2020-01-06 22:13:53,有道理!,0
虚张绅士z1hcxa,2020-01-06 22:20:40,目标不要定太高，保守一点，超过18年八元多的高点。,3
虚张绅士z1hcxa,2020-01-06 22:20:40,目标不要定太高，保守一点，超过18年八元多的高点。,3
深度发掘001,2020-01-06 22:52:26,难哦，慢慢来，先6元,0
深度发掘001,2020-01-06 22:52:26,难哦，慢慢来，先6元,0
深度发掘001,2020-01-06 22:54:34,这些指标毛用没有，骗了我几年，基本不管它。大势所趋，逆势者亡,0
深度发掘001,2020-01-06 22:54:34,这些指标毛用没有，骗了我几年，基本不管它。大势所趋，逆势者亡,0
深度发掘001,2020-01-06 22:56:33,太聪明太贪婪不好，明天冲高,0
深度发掘001,2020-01-06 22:58:08,今天格林美放量大涨，幸运的是前天满仓，以为定增还没公布，不会大涨，没想到大涨。长线股还得常做啊!最近最大的一次决策,4
深度发掘001,2020-01-06 22:58:08,今天格林美放量大涨，幸运的是前天满仓，以为定增还没公布，不会大涨，没想到大涨。长线股还得常做啊!最近最大的一次决策,4
深度发掘001,2020-01-06 23:37:28,主力看到我这贴，明天不会大跌吧,0
股友6R3O5R,2020-01-06 23:59:47,原来格林美与中国宝安差不多价，现在差宝安2元了。,0
股友6R3O5R,2020-01-07 00:00:06,2020，大牛股，中国宝安!!,0
吴宸2018,2020-01-07 00:16:31,6月末,1
哈尼克孜,2020-01-07 05:04:16,今天大涨是因为特斯拉概念懂吗？？？老股民不知道你看不看新闻,0
中山二路,2020-01-07 06:44:25,补涨股.小心,0
聚焦沪深港,2020-01-07 08:03:56,"1.12%1.37%1.62%1.86%2.11%2.36%2.61%4.014.214.414.614.815.025.225.425.62持股比例(左)收盘价(右)2019-11-202019-12-042019-12-182020-01-062020-01-06持股比例：2.61%持股量：108,131,058持股差：12,313,761收盘价：5.12涨跌幅：4.701月06日格林美深股通持仓数据收盘价： 5.12 涨跌幅： 4.70%持股量： 1.081亿股 持股变化： 1231.38万股数据显示，截至01月06日格林美于深股通持股量为1.081亿股，占其A股股本比例为2.61%，比上一交易日增加1231.38万股。据数据统计，该股近一个月内累计涨幅为21.04%，深股通累计加仓5337.57万，深股通持仓累计变化比例为97.48%。数据来源:东方财富声明：数据基于历史，不代表未来趋势，不对您构成任何投资建议。投资者据此操作，风险请自担。",5
聚焦沪深港,2020-01-07 08:03:56,"1.12%1.37%1.62%1.86%2.11%2.36%2.61%4.014.214.414.614.815.025.225.425.62持股比例(左)收盘价(右)2019-11-202019-12-042019-12-182020-01-062020-01-06持股比例：2.61%持股量：108,131,058持股差：12,313,761收盘价：5.12涨跌幅：4.701月06日格林美深股通持仓数据收盘价： 5.12 涨跌幅： 4.70%持股量： 1.081亿股 持股变化： 1231.38万股数据显示，截至01月06日格林美于深股通持股量为1.081亿股，占其A股股本比例为2.61%，比上一交易日增加1231.38万股。据数据统计，该股近一个月内累计涨幅为21.04%，深股通累计加仓5337.57万，深股通持仓累计变化比例为97.48%。数据来源:东方财富声明：数据基于历史，不代表未来趋势，不对您构成任何投资建议。投资者据此操作，风险请自担。",5
股友8WdddJ,2020-01-07 09:05:41,nan,0
股友8WdddJ,2020-01-07 09:05:41,nan,0
风花雪夜玫瑰花,2020-01-07 09:19:00,今天若是下跌又是一个好的买入机会的！,2
风花雪夜玫瑰花,2020-01-07 09:19:00,今天若是下跌又是一个好的买入机会的！,2
风花雪夜玫瑰花,2020-01-07 09:20:01,今天下跌又是好的买入机会,0
格林美资讯,2020-01-07 09:20:12,来源：东方财富Choice数据 作者：财智星格林美融资融券信息显示，2020年1月6日融资净买入269.86万元；融资余额14.52亿元，较前一日增加0.19%。融资方面，当日融资买入1.8亿元，融资偿还1.77亿元，融资净买入269.86万元。融券方面，融券卖出98.27万股，融券偿还22.12万股，融券余量187.98万股，融券余额962.46万元。融资融券余额合计14.62亿元。格林美融资融券交易明细（01-06）格林美历史融资融券数据一览免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。（文章来源：东方财富Choice数据） [点击查看原文],0
格林美资讯,2020-01-07 09:20:12,来源：东方财富Choice数据 作者：财智星格林美融资融券信息显示，2020年1月6日融资净买入269.86万元；融资余额14.52亿元，较前一日增加0.19%。融资方面，当日融资买入1.8亿元，融资偿还1.77亿元，融资净买入269.86万元。融券方面，融券卖出98.27万股，融券偿还22.12万股，融券余量187.98万股，融券余额962.46万元。融资融券余额合计14.62亿元。格林美融资融券交易明细（01-06）格林美历史融资融券数据一览免责声明：本文基于大数据生产，仅供参考，不构成任何投资建议，据此操作风险自担。（文章来源：东方财富Choice数据） [点击查看原文],0
格林美资讯,2020-01-07 09:30:12,"来源：东方财富Choice数据 作者：数据中心格林美(002340)2020-01-06融资融券信息显示，格林美融资余额1,451,879,057元，融券余额9,624,576元，融资买入额180,115,243元，融资偿还额177,416,614元，融资净买额2,698,629元，融券余量1,879,800股，融券卖出量982,700股，融券偿还量221,200股，融资融券余额1,461,503,633元。格林美融资融券详细信息如下表：交易日期 代码 简称 融资融券余额(元)2020-01-06 002340 格林美 1,461,503,633融资余额(元) 融资买入额(元) 融资偿还额(元) 融资净买额(元)1,451,879,057 180,115,243 177,416,614 2,698,629融券余额(元) 融券余量(股) 融券卖出量(股) 融券偿还量(股)9,624,576 1,879,800 982,700 221,200深市全部融资融券数据一览 格林美融资融券数据（文章来源：东方财富Choice数据） [点击查看原文]",0
格林美资讯,2020-01-07 09:30:12,"来源：东方财富Choice数据 作者：数据中心格林美(002340)2020-01-06融资融券信息显示，格林美融资余额1,451,879,057元，融券余额9,624,576元，融资买入额180,115,243元，融资偿还额177,416,614元，融资净买额2,698,629元，融券余量1,879,800股，融券卖出量982,700股，融券偿还量221,200股，融资融券余额1,461,503,633元。格林美融资融券详细信息如下表：交易日期 代码 简称 融资融券余额(元)2020-01-06 002340 格林美 1,461,503,633融资余额(元) 融资买入额(元) 融资偿还额(元) 融资净买额(元)1,451,879,057 180,115,243 177,416,614 2,698,629融券余额(元) 融券余量(股) 融券卖出量(股) 融券偿还量(股)9,624,576 1,879,800 982,700 221,200深市全部融资融券数据一览 格林美融资融券数据（文章来源：东方财富Choice数据） [点击查看原文]",0
与庄同在998,2020-01-07 09:34:19,外资这样买下去，是要举牌的节奏啊,4
与庄同在998,2020-01-07 09:34:19,外资这样买下去，是要举牌的节奏啊,4
SHYYHS,2020-01-07 09:40:24,抢啊,2
SHYYHS,2020-01-07 09:40:24,抢啊,2
ahczr,2020-01-07 09:46:06,上车,2
ahczr,2020-01-07 09:46:06,上车,2
股友oYytkp,2020-01-07 09:46:25,外资买的很凶吗？,0
股友oYytkp,2020-01-07 09:46:25,外资买的很凶吗？,0
大营南,2020-01-07 09:58:53,外口洗澡回来也是有可能的,0
大营南,2020-01-07 09:58:53,外口洗澡回来也是有可能的,0
佳鑫未来520,2020-01-07 10:02:50,踏空了,0
佳鑫未来520,2020-01-07 10:02:50,踏空了,0
我是小股東,2020-01-07 10:16:36,刚看到有人拿外资说事就知道今天买错票了。。。。。。,0
我是小股東,2020-01-07 10:16:36,刚看到有人拿外资说事就知道今天买错票了。。。。。。,0
cfylg,2020-01-07 10:17:35,果断清仓过大年！,1
cfylg,2020-01-07 10:17:35,果断清仓过大年！,1
虫子被鸟吃,2020-01-07 10:20:21,卖了，垃圾股,1
虫子被鸟吃,2020-01-07 10:20:21,卖了，垃圾股,1
与庄同在998,2020-01-07 10:31:12,买了一亿多股,0
与庄同在998,2020-01-07 10:31:12,买了一亿多股,0
做一个理性股民,2020-01-07 10:31:37,一泻千里,1
做一个理性股民,2020-01-07 10:31:37,一泻千里,1
与庄同在998,2020-01-07 10:32:00,买了一亿多股,0
与庄同在998,2020-01-07 10:32:00,买了一亿多股,0
多文广进的林平之,2020-01-07 10:35:18,一有风吹草动，跑的比兔子还快，赤着双脚跑,2
多文广进的林平之,2020-01-07 10:35:18,一有风吹草动，跑的比兔子还快，赤着双脚跑,2
lz13726479733,2020-01-07 10:39:57,快走，开废品站垃圾股,0
lz13726479733,2020-01-07 10:39:57,快走，开废品站垃圾股,0
slideover,2020-01-07 10:43:36,跳吧，朕已清仓拜拜,1
slideover,2020-01-07 10:43:36,跳吧，朕已清仓拜拜,1
股友ZFnxUU,2020-01-07 10:45:05,拉高出货，三次了,1
股友ZFnxUU,2020-01-07 10:45:05,拉高出货，三次了,1
ao888gu,2020-01-07 10:47:51,昨晚我发贴今天此股只卖不买，恭喜逢高减仓的股友了，好股并不是天天都得涨，加上定增价未定，也是不能继续涨的,2
ao888gu,2020-01-07 10:47:51,昨晚我发贴今天此股只卖不买，恭喜逢高减仓的股友了，好股并不是天天都得涨，加上定增价未定，也是不能继续涨的,2
lz13726479733,2020-01-07 10:51:38,收废品，无仑用无前途,1
lz13726479733,2020-01-07 10:51:38,收废品，无仑用无前途,1
风花雪夜玫瑰花,2020-01-07 10:52:20,继续买入1万股,0
SHYYHS,2020-01-07 10:59:41,不光适合鱼翅啊,0
SHYYHS,2020-01-07 10:59:41,不光适合鱼翅啊,0
F8F8,2020-01-07 11:17:17,格林美：有色小金属-锂，镍。拿好，下午或明天就会开始拉升！,3
F8F8,2020-01-07 11:17:17,格林美：有色小金属-锂，镍。拿好，下午或明天就会开始拉升！,3
hillcok,2020-01-07 11:32:14,又有一大堆在山岗上站岗了，站多久不知?,0
hillcok,2020-01-07 11:32:14,又有一大堆在山岗上站岗了，站多久不知?,0
雾色渐浓,2020-01-07 11:42:04,很快就会盈利了,0
雾色渐浓,2020-01-07 11:42:04,很快就会盈利了,0
股友ZFnxUU,2020-01-07 11:52:21,初生牛犊不怕虎，刚艹几天股就敢说拿好拉升这种话，小心别成股市黑嘴了！,1
股友ZFnxUU,2020-01-07 11:52:21,初生牛犊不怕虎，刚艹几天股就敢说拿好拉升这种话，小心别成股市黑嘴了！,1
一剑穿心4,2020-01-07 11:55:00,买你个大头鬼！大傻缺,0
一剑穿心4,2020-01-07 11:55:00,买你个大头鬼！大傻缺,0
龙行天下872,2020-01-07 12:19:55,同意！！！,0
龙行天下872,2020-01-07 12:19:55,同意！！！,0
重庆私募侠哥,2020-01-07 12:38:39,恭喜你们高位站岗，我已经跑了,1
重庆私募侠哥,2020-01-07 12:38:39,恭喜你们高位站岗，我已经跑了,1
lz13726479733,2020-01-07 13:02:50,我在站岗，死无,0
lz13726479733,2020-01-07 13:02:50,我在站岗，死无,0
hgzssz,2020-01-07 13:06:28,比想象中强很多，虽然抛单很大但一直在昨日放量均价508以上，强势调整换手温和，说明昨天的突破是有效突破。,4
hgzssz,2020-01-07 13:06:28,比想象中强很多，虽然抛单很大但一直在昨日放量均价508以上，强势调整换手温和，说明昨天的突破是有效突破。,4
招宝万金888,2020-01-07 13:10:05,孩子今天是你最后一天玩股票吗。,0
招宝万金888,2020-01-07 13:10:05,孩子今天是你最后一天玩股票吗。,0
ao888gu,2020-01-07 13:15:55,今天14：30点开始大跌，受不了的可以先清下周二尾盘再买回！能扛的逐步加仓，下周二尾盘满仓！,1
ao888gu,2020-01-07 13:15:55,今天14：30点开始大跌，受不了的可以先清下周二尾盘再买回！能扛的逐步加仓，下周二尾盘满仓！,1
做一个理性股民,2020-01-07 13:16:38,换手率起不来，白塔,0
做一个理性股民,2020-01-07 13:16:38,换手率起不来，白塔,0
SamQ,2020-01-07 13:22:14,这个票能不能赚钱，关键看现在耐心足不足，还有购买的时间对不对。市值上了400亿元逐步减仓，接近500亿元再清仓。中间30%做做小波段。票票基本面没有问题的话，就是看你的耐心。,2
SamQ,2020-01-07 13:22:14,这个票能不能赚钱，关键看现在耐心足不足，还有购买的时间对不对。市值上了400亿元逐步减仓，接近500亿元再清仓。中间30%做做小波段。票票基本面没有问题的话，就是看你的耐心。,2
n14130424246a333,2020-01-07 13:23:14,小丑一个，格的补涨空间大，这点你都看不出,0
n14130424246a333,2020-01-07 13:23:14,小丑一个，格的补涨空间大，这点你都看不出,0
复归于无,2020-01-07 13:23:26,看把你能的,0
复归于无,2020-01-07 13:23:26,看把你能的,0
储能钒电池,2020-01-07 13:24:14,鸡叫了，又是做T的好时机，嘻嘻,1
储能钒电池,2020-01-07 13:24:14,鸡叫了，又是做T的好时机，嘻嘻,1
股友hgXs0B,2020-01-07 13:24:55,楼主说说逻辑,0
股友hgXs0B,2020-01-07 13:24:55,楼主说说逻辑,0
